Mud Wt. In (ppg),Mud Wt. Out  (ppg),Temp Out deg °F,Funnel Viscosity ,Fann 600 rpm,Fann 300 rpm,Fann 200 rpm,Fann 100 rpm,Fann 6 rpm,Fann 3 rpm,n,K,API Fluid Loss (ml),Cake mm,Water % ,Retort Solids  % 
8.9,,,65,65,47,40,31,15,13,0.5,,5,1,94,4
8.9,9,,65,65,47,40,31,15,13,0.5,1.3,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,1.3,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,1.3,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,1.3,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,1.3,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,,5,1,94,4
8.9,,,65,65,47,40,31,15,13,0.5,1.3,5,1,94,4
8.5,,,110,80,64,51,34,20,16,0.3,,6.5,1,98,2
8.5,,,110,80,64,51,34,20,16,0.3,4.4,6.5,1,98,2
8.5,,,110,80,64,51,34,20,16,0.3,4.4,6.5,1,98,2
8.5,,,110,80,64,51,34,20,16,0.3,4.4,6.5,1,98,2
8.5,,,110,80,64,51,34,20,16,0.3,4.4,6.5,1,98,2
8.5,,,110,80,64,51,34,20,16,0.3,4.4,6.5,1,98,2
8.5,,,100,80,64,51,34,20,16,0.3,4.4,6.5,1,98,2
8.5,8.5,,98,79,62,53,33,19,16,0.3,3.6,6,1,98,2
8.5,8.6,,101,80,64,51,34,20,16,0.3,4.4,6,1,98,2
8.5,8.6,,98,80,64,51,34,20,16,0.3,4.4,6,1,98,2
8.7,8.7,,81,79,63,57,35,21,16,0.3,4.2,6,1,98,2
8.8,8.8,,80,75,60,55,35,21,15,0.3,4.1,5,1,97,2
8.8,8.8,112,79,74,59,55,35,21,15,0.3,3.9,5,1,97,2
8.8,8.8,115,80,75,60,55,35,21,15,0.3,4.1,5,1,97,2
8.8,8.9,120,80,78,62,57,40,25,16,0.3,4,5,1,97,2
8.9,8.9,120,80,69,57,55,40,25,16,0.3,3.7,5,1,97,2
8.9,8.9,130,74,62,55,47,40,25,16,0.2,9.6,5,1,97,2
8.9,8.9,130,80,65,54,45,40,25,16,0.3,5.2,5,1,97,2
8.9,8.9,,75,60,50,48,40,25,16,0.3,,5,1,97,2
8.9,8.9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
8.9,8.9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,75,60,50,48,40,25,16,0.3,5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,59,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
9,9,,60,52,39,30,25,15,8,0.4,1.5,5,1,97,2
8.6,8.6,105,102,80,64,51,34,20,16,0.3,4.4,6.5,1,98,2
8.6,8.6,105,98,75,60,53,33,19,16,0.3,4.1,6,1,98,2
8.6,8.6,105,100,80,64,51,34,20,16,0.3,4.4,6,1,98,2
8.6,8.6,117,79,74,59,55,35,21,15,0.3,3.9,5,1,97,2
8.6,8.6,117,98,67,52,53,33,19,16,0.4,2.7,4.5,1,98,2
8.6,8.6,117,87,64,42,28,20,5,4,0.6,0.5,5,1,98,2
